Nº Registro;Tipo;Estado;F.Solicitud;Origen;Unidad;Provincia;Referencia
2023-0011;Queja;Contestado;2023-01-04;ESCRITO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;VALLADOLID;
2023-0012;Queja;Inadmitida;2023-01-04;WEB;CONSEJERIA DE CULTURA Y TURISMO;VALLADOLID;
2023-0009;Queja;Contestado;2023-01-04;WEB;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;Dificultades para renovar los certificados digitales
2023-0001;Queja;Anulada;2023-01-03;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SEGOVIA;Anulada por ser una queja igual a otra
2023-0003;Queja;Contestado;2023-01-03;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SEGOVIA;El interesado se queja porque no ha tenido respuesta respecto de la renovación del plan cinegético de coto
2023-0007;Sugerencia;Contestado;2023-01-03;Servicio 012;CONSEJERIA DE MOVILIDAD Y TRANSFORMACION DIGITAL;SERVICIOS CENTRALES;Sugiere la rápida habilitación para solicitar y aplicar la bonificación
2023-0008;Sugerencia;Inadmitida;2023-01-03;Servicio 012;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;Navegadores para los modelos tributarios
2023-0005;Queja;Contestado;2023-01-03;LIBRO;CONSEJERIA DE CULTURA Y TURISMO;SEGOVIA;La interesada se queja del trato recibido por uno de los funcionarios de Biblioteca
2023-0002;Queja;Contestado;2023-01-03;WEB;GERENCIA DE SERVICIOS SOCIALES;SERVICIOS CENTRALES;Incidencia programa CONCILIAMOS
2023-0004;Queja;Contestado;2023-01-03;LIBRO;CONSEJERIA DE ECONOMIA Y HACIENDA;LEÓN;Comportamiento funcionaria en atención registro
2023-0006;Sugerencia;Contestado;2023-01-03;Servicio 012;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;Sugerencia anónima
2022-1172;Sugerencia;Prestacional;2022-12-31;WEB;CONSEJERIA DE SANIDAD;BURGOS;STUD HOSPITALES DE REFERENCIA
2022-1170;Queja;Contestado;2022-12-29;OAMR;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;Falta respuesta queja anterior
2022-1171;Queja;Contestado;2022-12-29;LIBRO;CONSEJERIA DE EMPLEO E  INDUSTRIA;ZAMORA;EXCESIVO TIEMPO DE ESPERA EN EL TRÁMITE DE LIEGALIZACIÓN/AUTORIZACIÓN DE LA INSTALACIÓN FOTOVOLTAICA PARA EL AUTOCONSUMO DE MI VIVIENDA HABITUAL
2022-1168;Queja;Contestado;2022-12-28;WEB;CONSEJERIA DE CULTURA Y TURISMO;SALAMANCA;Desacuerdo con actuación funcionaria
2022-1169;Queja;Contestado;2022-12-28;ESCRITO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;Desacuerdo actuación concentracion parcelaria
2022-1165;Queja;Contestado;2022-12-27;Servicio 012;CONSEJERIA DE MOVILIDAD Y TRANSFORMACION DIGITAL;SERVICIOS CENTRALES;Se queja del mal funcionamiento del sistema Cl@ave y falta de información sobre teléfono gratuito
2022-1166;Queja;Contestado;2022-12-27;WEB;SERVICIO PUBLICO DE EMPLEO;AVILA;TRAMITES DEL CERTIFICADO DE PROFESIONALIDAD
2022-1167;Queja;Contestado;2022-12-27;ESCRITO;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;Igualdad de trato independientemente de la hora
2022-1164;Queja;Contestado;2022-12-24;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;Rechazo a compatibilidad desestimada
2022-1163;Queja;Contestado;2022-12-23;Servicio 012;SERVICIO PUBLICO DE EMPLEO;VALLADOLID;.
2022-1162;Queja;Contestado;2022-12-23;WEB;CONSEJERIA DE EMPLEO E  INDUSTRIA;SERVICIOS CENTRALES;DESACUERDO NORMATIVA CARAVANAS ITV
2022-1156;Queja;Contestado;2022-12-22;OAMR;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;.
2022-1159;Queja;Prestacional;2022-12-22;WEB;GERENCIA REGIONAL DE SALUD;AVILA;
2022-1158;Queja;Contestado;2022-12-22;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;LEÓN;Reclamación responsabilidad patrimonial
2022-1160;Sugerencia;Contestado;2022-12-22;Servicio 012;CONSEJERIA DE EMPLEO E  INDUSTRIA;SERVICIOS CENTRALES;Posibilidad de realizar pago presencial de tasa en la aplicación RISE y adjuntar justificante de pago
2022-1157;Queja;Contestado;2022-12-22;WEB;CONSEJERIA DE EMPLEO E  INDUSTRIA;ZAMORA;ESTADO DE LA INSCRIPCIÓN DE UN CERTIFICADO DE INSCRIPCIÓN DE INSTALACIÓN ELÉCTRICA DE UNA INSTALACIÓN FOTOVOLTAICA
2022-1161;Sugerencia;Contestado;2022-12-22;WEB;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;COMPETENCIA SERVICIOS CENTRALES
2022-1152;Queja;Contestado;2022-12-21;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;
2022-1149;Queja;Contestado;2022-12-21;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Q-
2022-1154;Queja;Contestado;2022-12-21;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;
2022-1155;Queja;Contestado;2022-12-21;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;
2022-1150;Queja;Contestado;2022-12-21;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Q-
2022-1151;Queja;Contestado;2022-12-21;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Q-  estabilización docentes
2022-1153;Queja;Contestado;2022-12-21;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;
2022-1137;Queja;Contestado;2022-12-20;WEB;CONSEJERIA DE EDUCACION;ZAMORA;RECIBO CORREOS ELECTRÓNICOS EN LA DIRECCIÓN ELECTRÓNICA PROHIBIDA Y ERRONEA
2022-1140;Queja;Contestado;2022-12-20;LIBRO;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;LEÓN;Espera de más de 60 minutos para información licencias caza y pesca
2022-1142;Queja;Contestado;2022-12-20;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Q-
2022-1143;Queja;Contestado;2022-12-20;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;
2022-1136;Queja;Contestado;2022-12-20;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Q- . Igual que Sugerencia  del mismo interesado
2022-1138;Queja;Contestado;2022-12-20;Servicio 012;CONSEJERIA DE EDUCACION;AVILA;PRESENCIA DE ANIMALES EN EL CEIP CLAUDIO SANCHES ALBORNOZ
2022-1139;Queja;Contestado;2022-12-20;LIBRO;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;LEÓN;Espera para atención presencial en ventanilla (planta baja) licencias caza y pesca
2022-1141;Queja;Contestado;2022-12-20;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;queja  anónima.
2022-1144;Queja;Contestado;2022-12-20;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Q-
2022-1145;Queja;Inadmitida;2022-12-20;WEB;GERENCIA DE SERVICIOS SOCIALES;SERVICIOS CENTRALES;SE INADMITE POR TRATARSE DE UNA QUEJA RELATIVA A UN CENTRO PRIVADO. SE HA DADO TRASLADO DE SU CONTENIDO A LA GERENCIA TERRITORIAL DE BURGOS, A LOS EFECTOS OPORTUNOS.
2022-1146;Queja;Inadmitida;2022-12-20;WEB;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;
2022-1147;Sugerencia;Contestado;2022-12-20;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Es la misma que la Q.
2022-1148;Sugerencia;Contestado;2022-12-20;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;BURGOS;MIRADORES PUERTO DE LA MAZORRA
2022-1133;Queja;Contestado;2022-12-19;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Q-
2022-1127;Queja;Contestado;2022-12-19;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;queja anónima
2022-1128;Queja;Contestado;2022-12-19;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Sin ninguna identificación
2022-1130;Queja;Contestado;2022-12-19;Servicio 012;CONSEJERIA DE EDUCACION;BURGOS;retraso ruta escolar
2022-1131;Queja;Contestado;2022-12-19;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Q-
2022-1134;Queja;Contestado;2022-12-19;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;queja
2022-1135;Queja;Contestado;2022-12-19;ESCRITO;GERENCIA DE SERVICIOS SOCIALES;SALAMANCA;retrasos en la renovacion del libro de familia numerosa
2022-1129;Queja;Contestado;2022-12-19;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Q-
2022-1132;Queja;Contestado;2022-12-19;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Q-
2022-1125;Queja;Contestado;2022-12-16;WEB;CONSEJERIA DE EDUCACION;ZAMORA;INFORMACIÓN RECIBIDA INOPERANTE E INFRUCTUOSA
2022-1126;Queja;Contestado;2022-12-16;ESCRITO;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;QUEJA POR NO PERMIITIR LA QUEMA DE RASTROJOS EN LA COMUNIDAD DE CYL.
2022-1123;Queja;Contestado;2022-12-16;Servicio 012;GERENCIA REGIONAL DE SALUD;SERVICIOS CENTRALES;Actualización méritos Bolsa de Enfermería
2022-1124;Queja;Contestado;2022-12-16;Servicio 012;CONSEJERIA DE EDUCACION;VALLADOLID;.
2022-1120;Queja;Contestado;2022-12-15;WEB;CONSEJERIA DE EDUCACION;BURGOS;DESACUERDO MENU EN CENTRO EDUCATIVO
2022-1121;Queja;Contestado;2022-12-15;WEB;CONSEJERIA DE EDUCACION;VALLADOLID;.
2022-1122;Sugerencia;Contestado;2022-12-15;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;BURGOS;SEÑALIZACION LIMITES DE VELOCIDAD
2022-1119;Queja;Contestado;2022-12-15;LIBRO;CONSEJERIA DE ECONOMIA Y HACIENDA;LEÓN;No comprobación solicitud ayuda alquiler en OAMR
2022-1118;Queja;Contestado;2022-12-14;WEB;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;Problemas en la teletramitación de solicitudes
2022-1115;Queja;Contestado;2022-12-13;WEB;CONSEJERIA DE EMPLEO E  INDUSTRIA;SERVICIOS CENTRALES;Queja por retraso en resolución de la convocatoria de subvenciones para la modernización de las empresas artesanas y solicitud de información de ayudas y subvenciones.
2022-1116;Queja;Contestado;2022-12-13;ESCRITO;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;Desaparición /Robo de un gorro infantil
2022-1117;Queja;Contestado;2022-12-13;LIBRO;CONSEJERIA DE CULTURA Y TURISMO;PALENCIA;Queja sobre las funciones del vigilante de seguridad
2022-1113;Queja;Contestado;2022-12-09;WEB;CONSEJERIA DE EDUCACION;ZAMORA;NO FUI ATENDIDO EL NUEVE DE DICIEMBRE EN EL INSTITUTO DE EDUCACIÓN SECUNDARIA CLAUDIO MOYANO
2022-1114;Sugerencia;Contestado;2022-12-09;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;sugerencia anónima. inclusión modelo 046 a modo de instrucciones
2022-1112;Queja;Contestado;2022-12-07;Servicio 012;SERVICIO PUBLICO DE EMPLEO;SERVICIOS CENTRALES;Se queja del escaso plazo de poresentación de solicitudes en la convocatoria de ayudas al autoempleo
2022-1108;Queja;Contestado;2022-12-05;OAMR;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;Q por el funcionamiento de la cita previa.  inforomación incorrecta
2022-1109;Queja;Contestado;2022-12-05;Servicio 012;SERVICIO PUBLICO DE EMPLEO;VALLADOLID;.
2022-1110;Queja;Contestado;2022-12-05;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SEGOVIA;El interesado se queja de la falta de personal
2022-1111;Sugerencia Interna;Remitida Órgano;2022-12-05;WEB;CONSEJERIA DE MOVILIDAD Y TRANSFORMACION DIGITAL;SERVICIOS CENTRALES;Propone crear una sala para todos los trabajadores en modo teletrabajo y así liberar despachos para los presenciales
2022-1105;Queja;Contestado;2022-12-02;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Q   renovación banderas
2022-1104;Queja;Contestado;2022-12-02;Servicio 012;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;Modulo Ganadero
2022-1107;Queja;Contestado;2022-12-02;WEB;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;Problema con la tramitación electronica guia de turismo
2022-1106;Queja;Contestado;2022-12-02;Servicio 012;CONSEJERIA DE MOVILIDAD Y TRANSFORMACION DIGITAL;SERVICIOS CENTRALES;Se queja de las condiciones en van en el autobús metropolitano de Guardo a Aguilar
2022-1103;Sugerencia;Inadmitida;2022-12-01;WEB;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;
2022-1100;Queja;Contestado;2022-12-01;ESCRITO;SERVICIO PUBLICO DE EMPLEO;ZAMORA;SOLICITUD DE ELIMINACION EN MI EXPEDIENTE EL RECHAZO A UN PUESTO DE TRABAJO
2022-1101;Queja;Remitido Órgano;2022-12-01;OAMR;CONSEJERIA DE FAMILIA E IGUALDAD DE OPORTUNIDADES;SERVICIOS CENTRALES;QUEJA SOBRE VIAJE DEL CLUB DE LOS 60
2022-1102;Sugerencia;Contestado;2022-12-01;WEB;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;Sugerencia de perfeccionar  los procesos y plataformas . Problema con el modelo 806
2022-1097;Queja;Contestado;2022-12-01;WEB;GERENCIA DE SERVICIOS SOCIALES;LEÓN;TRAMITACIÓN SOLICITUD DEPENDENCIA
2022-1098;Queja;Contestado;2022-12-01;WEB;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;Queja al utilizar modelo 806, debería mejorarse
2022-1099;Queja;Contestado;2022-12-01;LIBRO;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;ZAMORA;SOLICITA LIMPIEZA DE ZONA PÚBLICA
2022-1096;Sugerencia;Contestado;2022-11-30;ESCRITO;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;Calefacción Biblioteca de Castilla y León
2022-1095;Sugerencia;Remitido Órgano;2022-11-29;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;VALLADOLID;.
2022-1092;Queja;Anulada;2022-11-28;WEB;CONSEJERIA DE MOVILIDAD Y TRANSFORMACION DIGITAL;VALLADOLID;
2022-1093;Sugerencia;Contestado;2022-11-28;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SALAMANCA;solicita pintura carretera
2022-1094;Sugerencia;Contestado;2022-11-28;LIBRO;CONSEJERIA DE CULTURA Y TURISMO;PALENCIA;Colocación de cartel contra sida fuera de la zona infantil de los niños
2022-1090;Queja;Contestado;2022-11-27;WEB;CONSEJERIA DE EMPLEO E  INDUSTRIA;VALLADOLID;.
2022-1091;Queja;Contestado;2022-11-27;WEB;CONSEJERIA DE EDUCACION;BURGOS;INEXISTENCIA DE RECURSOS
2022-1086;Queja;Contestado;2022-11-25;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;LEÓN;Transporte a la demanda
2022-1087;Queja;Contestado;2022-11-25;Servicio 012;CONSEJERIA DE MOVILIDAD Y TRANSFORMACION DIGITAL;SERVICIOS CENTRALES;Se queja de lo complicado que es acceder al trámite de forma telemática con firma digital
2022-1088;Queja;Contestado;2022-11-25;LIBRO;CONSEJERIA DE CULTURA Y TURISMO;ZAMORA;PÉRDIDA DE PARAGÜAS
2022-1089;Sugerencia;Contestado;2022-11-25;WEB;CONSEJERIA DE EDUCACION;SEGOVIA;La interesada indica que en el comedor al que van sus hijos la comida es excasa
2022-1080;Queja;Contestado;2022-11-23;ESCRITO;CONSEJERIA DE EDUCACION;VALLADOLID;.
2022-1084;Queja;Inadmitida;2022-11-23;Servicio 012;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;
2022-1083;Queja;Contestado;2022-11-23;LIBRO;CONSEJERIA DE CULTURA Y TURISMO;PALENCIA;Cierre de la biblioteca por las tardes
2022-1081;Queja;Contestado;2022-11-23;WEB;EPDP - INSTITUTO TECNOLOGICO AGRARIO;SERVICIOS CENTRALES;Denegación de justificante de asistencia a actuaciones en materia de concentración parcelaria
2022-1082;Queja;Contestado;2022-11-23;LIBRO;CONSEJERIA DE CULTURA Y TURISMO;PALENCIA;Cierre de la sala de lectura por la tarde
2022-1085;Sugerencia;Remitido a Cons/DT;2022-11-23;OAMR;CONSEJERIA DE FAMILIA E IGUALDAD DE OPORTUNIDADES;SERVICIOS CENTRALES;CLUB DE LOS 60 , viaje organizado
2022-1079;Queja;Contestado;2022-11-22;OAMR;CONSEJERIA DE ECONOMIA Y HACIENDA;BURGOS;DESACUERDO ACTUACION OAMR
2022-1078;Queja;Contestado;2022-11-22;WEB;GERENCIA DE SERVICIOS SOCIALES;SEGOVIA;La interesada se queja por la actuación de la residencia Asistida de Segovia
2022-1075;Queja;Contestado;2022-11-21;LIBRO;CONSEJERIA DE CULTURA Y TURISMO;SEGOVIA;La interesada se queja de la climatización de la sala de estudio
2022-1070;Queja;Contestado;2022-11-21;WEB;CONSEJERIA DE MOVILIDAD Y TRANSFORMACION DIGITAL;SERVICIOS CENTRALES;No puede leer una notificación del buzón del ciudadano
2022-1072;Queja;Contestado;2022-11-21;Servicio 012;SERVICIO PUBLICO DE EMPLEO;VALLADOLID;.
2022-1073;Queja;Contestado;2022-11-21;ESCRITO;CONSEJERIA DE ECONOMIA Y HACIENDA;SALAMANCA;Falta de asistencia para la confeccion modelo 600
2022-1074;Queja;Contestado;2022-11-21;ESCRITO;SERVICIO PUBLICO DE EMPLEO;AVILA;TRATO RECIBIDO POR PARTE DEL VIGILANTE DE SEGURIDAD
2022-1076;Sugerencia;Contestado;2022-11-21;LIBRO;CONSEJERIA DE CULTURA Y TURISMO;SEGOVIA;La interesada propone que se revise la climatización del espacio
2022-1077;Sugerencia Interna;Contestado;2022-11-21;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;S interna pago telemático en cuestiones educativas
2022-1071;Queja;Contestado;2022-11-21;WEB;CONSEJERIA DE MOVILIDAD Y TRANSFORMACION DIGITAL;SERVICIOS CENTRALES;Dificultad para leer una notificación del buzón
2022-1068;Queja;Contestado;2022-11-20;WEB;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;Problemas con tramitación electrónica
2022-1069;Sugerencia;Contestado;2022-11-20;WEB;GERENCIA DE SERVICIOS SOCIALES;VALLADOLID;.
2022-1066;Queja;Contestado;2022-11-18;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SEGOVIA;El interesado se queja del estado de la carretera SG-322
2022-1067;Queja;Contestado;2022-11-18;WEB;CONSEJERIA DE CULTURA Y TURISMO;SORIA;El recorrido en el yacimiento de Numancia no está adaptado para personas con movilidad reducida
2022-1062;Queja;Contestado;2022-11-17;WEB;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;Fallo en la Sede electronica
2022-1064;Queja;Inadmitida;2022-11-17;WEB;;ZAMORA;NO ES UNA QUEJA FORMULADA SOBRE LA PRESTACIÓN DE SERVICIOS DE LA ADMINISTRACIÓN DE LA CDAD DE CYL
2022-1065;Sugerencia;Contestado;2022-11-17;Servicio 012;CONSEJERIA DE MOVILIDAD Y TRANSFORMACION DIGITAL;SERVICIOS CENTRALES;Sugiere que se de la posibilidad independientemente con que DNI se gestione que aparezca la información de la empresa interesada, pudiento facilitar todo trámite anterior de esa sociedad
2022-1063;Queja;Contestado;2022-11-17;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;ZAMORA;DESPERFECTOS EN LA BARANDILLA METÁLICA DEL PUENTE
2022-1061;Queja;Contestado;2022-11-16;Servicio 012;CONSEJERIA DE MOVILIDAD Y TRANSFORMACION DIGITAL;SERVICIOS CENTRALES;Queja es por el computo de plazos de puesta a disposición del nuevo sistema de notificaciones electrónicas NOTI
2022-1060;Queja;Contestado;2022-11-16;Servicio 012;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;C.S. Plaza del Ejército. Gasto calefacción
2022-1058;Queja;Inadmitida;2022-11-15;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;AVILA;ASFALTADO CALLE CASASOLA AYTO. PIEDRALAVES
2022-1059;Sugerencia Interna;Anulada;2022-11-15;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;Se anula por tratarse de una prueba
2022-1057;Queja;Contestado;2022-11-15;ESCRITO;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;QUEMAS DE RESTOS VEGETALES
2022-1051;Queja;Contestado;2022-11-14;WEB;CONSEJERIA DE FAMILIA E IGUALDAD DE OPORTUNIDADES;SERVICIOS CENTRALES;Situación personal BONO SOCIAL TÉRMICO
2022-1052;Queja;Contestado;2022-11-14;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;VALLADOLID;.
2022-1055;Sugerencia;Contestado;2022-11-14;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;S-. Escasa cantidad de comida en comedor escolar
2022-1054;Sugerencia;Contestado;2022-11-14;WEB;CONSEJERIA DE EDUCACION;SEGOVIA;El iteresado sugiere que la comida del CRA Los Almendros en la Lastrilla es excasa
2022-1056;Sugerencia Interna;Contestado;2022-11-14;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;Sugerencia interna de ampliar periodo para ver las distinciones de otros años y las comisiones de servicio
2022-1053;Queja;Contestado;2022-11-14;OAMR;CONSEJERIA DE ECONOMIA Y HACIENDA;VALLADOLID;-
2022-1050;Queja;Contestado;2022-11-12;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;BURGOS;OBRAS EN PUENTE DE ARIJA
2022-1046;Queja;Contestado;2022-11-11;Servicio 012;CONSEJERIA DE MOVILIDAD Y TRANSFORMACION DIGITAL;SERVICIOS CENTRALES;Se queja del mal funcionamiento del Sistema Clave en la tramitación electrónica de Castila y Léon
2022-1047;Queja;Contestado;2022-11-11;WEB;CONSEJERIA DE ECONOMIA Y HACIENDA;SEGOVIA;El  interesado se queja de ruidos
2022-1048;Queja;Contestado;2022-11-11;LIBRO;CONSEJERIA DE CULTURA Y TURISMO;PALENCIA;CIERRE SALA LECTURA BIBILIOTECA TARDES Y SÁBADOS POR LA MAÑANA
2022-1049;Queja;Contestado;2022-11-11;LIBRO;CONSEJERIA DE CULTURA Y TURISMO;PALENCIA;CIERRE SALA LECTURA BIBILIOTECA TARDES Y SÁBADOS POR LA MAÑANA
2022-1043;Queja;Contestado;2022-11-10;WEB;CONSEJERIA DE EMPLEO E  INDUSTRIA;PALENCIA;"NEGATIVA EMPRESA LACTODUERO FACILITAR ANALISIS BIOQUIMICO DE SU PRODUCTO ""AGUA DE MAR"""
2022-1044;Queja;Contestado;2022-11-10;LIBRO;CONSEJERIA DE CULTURA Y TURISMO;PALENCIA;Cierre de la sala de estudio por la tarde y sábados por la mañana
2022-1045;Queja;Contestado;2022-11-10;LIBRO;CONSEJERIA DE CULTURA Y TURISMO;PALENCIA;CIERRE ZONA INFANTIL DE LA BIBILIOTECA PÚBLICA DE PALENCIA
2022-1038;Queja;Contestado;2022-11-09;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;PALENCIA;MAL ESTADO ARCEN CARRETERA P-110
2022-1041;Queja;Contestado;2022-11-09;LIBRO;CONSEJERIA DE CULTURA Y TURISMO;PALENCIA;CIERRE EN HORARIO DE TARDE SALA LECTURA DE LA BIBILIOTECA PÚBLICA DE PALENCIA
2022-1039;Queja;Contestado;2022-11-09;LIBRO;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;LEÓN;No contestación telefónica del S.T.Fomento y no dejar subir para solicitar físicament cita previa
2022-1040;Queja;Contestado;2022-11-09;LIBRO;CONSEJERIA DE CULTURA Y TURISMO;PALENCIA;CIERRE EN HORARIO DE TARDE SALA LECTURA DE LA BIBILIOTECA PÚBLICA DE PALENCIA
2022-1042;Sugerencia;Inadmitida;2022-11-09;Servicio 012;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;Cambio en los formularios subvenciones produccion y giras
2022-1032;Queja;Contestado;2022-11-08;WEB;SERVICIO PUBLICO DE EMPLEO;SERVICIOS CENTRALES;Se queja sobre el funcionamiento en general del Servicio Público de Empleo
2022-1033;Queja;Contestado;2022-11-08;WEB;GERENCIA REGIONAL DE SALUD;LEÓN;Consulta con cardiólogo
2022-1035;Sugerencia;Inadmitida;2022-11-08;OAMR;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;
2022-1037;Sugerencia Interna;Contestado;2022-11-08;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;Mejora de la solicitud de sugerencias
2022-1031;Queja;Contestado;2022-11-08;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;VALLADOLID;.
